Team,Year,f_yr-1,f_yr-2,f_yr-3,f_yr-4,f_yr-5,yr1_f
Florida State,2013,0.295,0.242,0.19,0.09,0.14400000000000002,0.49200000000000005
Alabama,2013,0.506,0.539,0.375,0.41200000000000003,0.273,0.423
Stanford,2013,0.256,0.285,0.332,0.11900000000000001,-0.001,0.4
Auburn,2013,-0.18600000000000003,-0.013000000000000001,0.365,0.098,-0.025,0.35100000000000003
Oregon,2013,0.38299999999999995,0.33799999999999997,0.265,0.20199999999999999,0.16,0.33299999999999996
Michigan State,2013,0.207,0.23800000000000002,0.14800000000000002,0.054000000000000006,0.065,0.321
Baylor,2013,0.125,0.135,-0.037000000000000005,-0.129,-0.031,0.304
Oklahoma State,2013,0.253,0.379,0.248,0.11699999999999999,0.162,0.3
Ohio State,2013,0.22899999999999998,0.094,0.33899999999999997,0.278,0.251,0.299
South Carolina,2013,0.237,0.158,0.21899999999999997,0.09699999999999999,0.063,0.298
USC,2013,0.142,0.237,0.086,0.134,0.47600000000000003,0.29
Louisville,2013,0.13699999999999998,0.053,0.057,-0.14400000000000002,-0.11599999999999999,0.29
Arizona State,2013,0.09,0.055999999999999994,0.061,0.011000000000000001,-0.040999999999999995,0.285
Missouri,2013,0.006999999999999999,0.145,0.233,0.032,0.19699999999999998,0.285
UCLA,2013,0.11199999999999999,-0.10800000000000001,-0.083,0.008,-0.109,0.278
Clemson,2013,0.184,0.102,0.138,0.20199999999999999,0.139,0.266
LSU,2013,0.259,0.46799999999999997,0.21,0.13699999999999998,0.139,0.264
Washington,2013,0.018000000000000002,-0.022000000000000002,-0.03,-0.021,-0.284,0.263
Wisconsin,2013,0.204,0.293,0.24600000000000002,0.2,0.037000000000000005,0.262
Oklahoma,2013,0.27,0.27699999999999997,0.284,0.273,0.354,0.247
Central Florida,2013,0.106,0.022000000000000002,0.10300000000000001,-0.055999999999999994,-0.111,0.23800000000000002
Georgia,2013,0.29100000000000004,0.228,0.11599999999999999,0.098,0.155,0.223
Texas A&M,2013,0.35100000000000003,0.21,0.188,0.051,-0.184,0.212
Kansas State,2013,0.26899999999999996,0.122,0.006999999999999999,-0.065,-0.102,0.205
Arizona,2013,0.098,-0.08199999999999999,0.07400000000000001,0.11699999999999999,0.14300000000000002,0.18100000000000002
Notre Dame,2013,0.27399999999999997,0.235,0.188,0.15,0.037000000000000005,0.175
Virginia Tech,2013,0.076,0.14,0.253,0.315,0.105,0.171
Ole Miss,2013,0.096,-0.166,0.0,0.16899999999999998,0.25,0.161
Iowa,2013,-0.06,0.053,0.177,0.251,0.21100000000000002,0.151
BYU,2013,0.175,0.07200000000000001,0.004,0.156,0.067,0.149
Utah,2013,-0.038,0.012,0.11599999999999999,0.126,0.243,0.139
Utah State,2013,0.201,-0.015,-0.162,-0.16,-0.17,0.13699999999999998
Mississippi State,2013,-0.001,0.044000000000000004,0.109,0.01,-0.16,0.126
Georgia Tech,2013,0.061,0.068,-0.018000000000000002,0.158,0.078,0.121
Texas,2013,0.156,0.147,-0.019,0.379,0.365,0.12
Miami,2013,-0.013000000000000001,0.105,0.168,0.17800000000000002,0.013000000000000001,0.10800000000000001
Michigan,2013,0.193,0.264,0.03,0.005,-0.057999999999999996,0.102
North Carolina,2013,0.068,0.059000000000000004,0.07,0.11199999999999999,0.152,0.10099999999999999
Nebraska,2013,0.19899999999999998,0.13,0.203,0.255,0.087,0.091
East Carolina,2013,-0.11800000000000001,-0.094,-0.022000000000000002,0.044000000000000004,0.034,0.08800000000000001
Duke,2013,-0.083,-0.076,-0.083,-0.052000000000000005,-0.065,0.085
Oregon State,2013,0.2,-0.115,0.034,0.16699999999999998,0.115,0.085
Texas Tech,2013,0.069,-0.08199999999999999,0.006999999999999999,0.18600000000000003,0.207,0.08
TCU,2013,0.12300000000000001,0.17600000000000002,0.33299999999999996,0.321,0.324,0.071
Boise State,2013,0.184,0.33,0.39299999999999996,0.285,0.29100000000000004,0.07
Houston,2013,-0.08199999999999999,0.17800000000000002,-0.006,0.113,0.036000000000000004,0.068
Bowling Green,2013,-0.042,-0.081,-0.23,0.001,0.012,0.064
Florida,2013,0.342,0.095,0.098,0.408,0.494,0.061
Fresno State,2013,0.11599999999999999,-0.128,-0.065,-0.042,-0.08,0.06
Vanderbilt,2013,0.061,0.077,-0.163,-0.092,0.018000000000000002,0.059000000000000004
North Texas,2013,-0.215,-0.233,-0.122,-0.159,-0.36,0.049
Marshall,2013,-0.087,-0.106,-0.16399999999999998,-0.054000000000000006,-0.068,0.044000000000000004
Washington State,2013,-0.166,-0.133,-0.201,-0.371,-0.37200000000000005,0.037000000000000005
Pittsburgh,2013,0.06,0.05,0.155,0.21,0.166,0.036000000000000004
Minnesota,2013,-0.075,-0.153,-0.10400000000000001,-0.048,-0.061,0.027999999999999997
Indiana,2013,-0.065,-0.215,-0.10300000000000001,-0.124,-0.149,0.023
Ball State,2013,-0.005,-0.146,-0.23600000000000002,-0.204,0.134,0.023
Navy,2013,-0.165,-0.038,0.021,0.10400000000000001,0.021,0.022000000000000002
Northwestern,2013,0.129,-0.001,-0.064,0.03,0.05,0.02
Northern Illinois,2013,0.11900000000000001,0.043,0.09699999999999999,-0.063,-0.04,0.012
Penn State,2013,0.15,0.105,0.025,0.303,0.34,-0.001
Toledo,2013,0.023,0.086,-0.11800000000000001,-0.138,-0.159,-0.002
Maryland,2013,-0.109,-0.129,0.08900000000000001,-0.086,0.028999999999999998,-0.013999999999999999
Cincinnati,2013,0.14400000000000002,0.141,0.02,0.175,0.122,-0.015
Boston College,2013,-0.111,-0.064,0.024,0.124,0.131,-0.022000000000000002
Colorado State,2013,-0.247,-0.222,-0.28,-0.127,-0.073,-0.026000000000000002
Rice,2013,-0.109,-0.16699999999999998,-0.174,-0.306,0.038,-0.031
Tulane,2013,-0.207,-0.292,-0.184,-0.289,-0.237,-0.037000000000000005
Illinois,2013,-0.193,0.02,0.10400000000000001,-0.134,0.040999999999999995,-0.04
Tennessee,2013,0.008,0.027000000000000003,0.006999999999999999,0.145,0.019,-0.052000000000000005
Florida Atlantic,2013,-0.218,-0.32799999999999996,-0.136,-0.136,-0.11199999999999999,-0.054000000000000006
San Jose State,2013,0.121,-0.09699999999999999,-0.24,-0.303,-0.131,-0.061
Syracuse,2013,0.102,-0.033,-0.024,-0.102,-0.134,-0.062
West Virginia,2013,0.066,0.162,0.19899999999999998,0.06,0.11,-0.066
Western Kentucky,2013,-0.047,-0.131,-0.162,-0.275,-0.272,-0.067
Iowa State,2013,0.022000000000000002,-0.036000000000000004,-0.10300000000000001,-0.081,-0.153,-0.07400000000000001
Virginia,2013,-0.08800000000000001,0.002,-0.086,-0.061,-0.01,-0.077
Buffalo,2013,-0.153,-0.18899999999999997,-0.23399999999999999,-0.057999999999999996,-0.019,-0.078
Wake Forest,2013,-0.191,-0.013000000000000001,-0.17300000000000001,0.071,0.11900000000000001,-0.085
Hawaii,2013,-0.254,-0.113,0.052000000000000005,-0.187,-0.166,-0.087
Memphis,2013,-0.157,-0.359,-0.325,-0.19699999999999998,-0.062,-0.09
SMU,2013,-0.047,-0.006999999999999999,-0.001,-0.042,-0.19,-0.09699999999999999
Middle Tennessee,2013,-0.16,-0.295,-0.111,-0.055,-0.158,-0.098
UL-Lafayette,2013,0.004,-0.098,-0.14800000000000002,-0.21600000000000003,-0.109,-0.098
Arkansas,2013,0.004,0.19899999999999998,0.285,0.145,-0.047,-0.10099999999999999
Nevada,2013,-0.053,-0.009000000000000001,0.127,-0.11199999999999999,-0.033,-0.105
San Diego State,2013,0.075,-0.032,0.10800000000000001,-0.18899999999999997,-0.258,-0.11699999999999999
Arkansas State,2013,0.051,-0.012,-0.026000000000000002,-0.193,-0.125,-0.121
Rutgers,2013,0.096,0.121,-0.102,-0.003,0.1,-0.124
N.C. State,2013,-0.002,0.002,0.172,-0.040999999999999995,0.03,-0.126
Connecticut,2013,0.0,0.013999999999999999,-0.013999999999999999,0.114,0.11699999999999999,-0.132
Tulsa,2013,0.087,0.091,0.018000000000000002,-0.07200000000000001,0.10099999999999999,-0.135
Colorado,2013,-0.36,-0.22699999999999998,-0.047,-0.092,-0.147,-0.14800000000000002
UNLV,2013,-0.177,-0.33,-0.28600000000000003,-0.126,-0.107,-0.153
Kentucky,2013,-0.21,-0.109,0.017,0.021,-0.053,-0.161
Temple,2013,-0.1,0.13699999999999998,-0.07,0.022000000000000002,-0.045,-0.161
South Florida,2013,-0.062,0.094,0.069,0.004,0.094,-0.17300000000000001
Army,2013,-0.188,-0.16399999999999998,-0.075,-0.188,-0.183,-0.17600000000000002
Kansas,2013,-0.18,-0.23600000000000002,-0.235,0.035,0.055,-0.19
Wyoming,2013,-0.171,-0.19399999999999998,-0.22,-0.174,-0.21600000000000003,-0.19899999999999998
California,2013,-0.07,0.062,-0.08,0.006999999999999999,0.136,-0.20199999999999999
Ohio,2013,-0.045,0.011000000000000001,-0.084,-0.064,-0.111,-0.20199999999999999
Troy,2013,-0.07400000000000001,-0.223,0.023,-0.02,0.011000000000000001,-0.207
Kent State,2013,0.062,-0.124,-0.177,-0.16899999999999998,-0.166,-0.20800000000000002
Akron,2013,-0.203,-0.354,-0.303,-0.24100000000000002,-0.06,-0.218
UL-Monroe,2013,-0.066,-0.11599999999999999,-0.129,-0.193,-0.21,-0.23399999999999999
New Mexico,2013,-0.217,-0.444,-0.33899999999999997,-0.25,-0.06,-0.23800000000000002
Central Michigan,2013,-0.157,-0.162,-0.131,0.10400000000000001,-0.036000000000000004,-0.251
Louisiana Tech,2013,0.054000000000000006,0.049,-0.099,-0.064,-0.132,-0.264
Air Force,2013,-0.174,-0.026000000000000002,0.049,0.14400000000000002,-0.009000000000000001,-0.265
Purdue,2013,-0.069,-0.078,-0.109,0.063,-0.049,-0.273
UAB,2013,-0.15,-0.22399999999999998,-0.094,-0.135,-0.155,-0.28800000000000003
Idaho,2013,-0.254,-0.263,-0.131,-0.10300000000000001,-0.325,-0.309
Western Michigan,2013,-0.102,-0.004,-0.025,-0.14800000000000002,-0.042,-0.315
UTEP,2013,-0.156,-0.146,-0.159,-0.096,-0.094,-0.32799999999999996
Southern Miss,2013,-0.23399999999999999,0.134,0.035,-0.053,0.036000000000000004,-0.32799999999999996
New Mexico State,2013,-0.35600000000000004,-0.225,-0.363,-0.32299999999999995,-0.235,-0.349
Miami (Ohio),2013,-0.17600000000000002,-0.083,-0.155,-0.24100000000000002,-0.223,-0.365
Eastern Michigan,2013,-0.20600000000000002,-0.16899999999999998,-0.285,-0.318,-0.252,-0.42100000000000004
Florida International,2013,-0.11699999999999999,-0.027999999999999997,0.004,-0.256,-0.16,-0.425
Alabama,2012,0.539,0.375,0.41200000000000003,0.273,0.102,0.506
Oregon,2012,0.33799999999999997,0.265,0.20199999999999999,0.16,0.278,0.38299999999999995
Texas A&M,2012,0.21,0.188,0.051,-0.184,-0.017,0.35100000000000003
Florida,2012,0.095,0.098,0.408,0.494,0.295,0.342
Florida State,2012,0.242,0.19,0.09,0.14400000000000002,0.059000000000000004,0.295
Georgia,2012,0.228,0.11599999999999999,0.098,0.155,0.23800000000000002,0.29100000000000004
Notre Dame,2012,0.235,0.188,0.15,0.037000000000000005,-0.139,0.27399999999999997
Oklahoma,2012,0.27699999999999997,0.284,0.273,0.354,0.273,0.27
Kansas State,2012,0.122,0.006999999999999999,-0.065,-0.102,-0.002,0.26899999999999996
LSU,2012,0.46799999999999997,0.21,0.13699999999999998,0.139,0.337,0.259
Stanford,2012,0.285,0.332,0.11900000000000001,-0.001,-0.034,0.256
Oklahoma State,2012,0.379,0.248,0.11699999999999999,0.162,0.079,0.253
South Carolina,2012,0.158,0.21899999999999997,0.09699999999999999,0.063,0.095,0.237
Ohio State,2012,0.094,0.33899999999999997,0.278,0.251,0.33399999999999996,0.22899999999999998
Michigan State,2012,0.23800000000000002,0.14800000000000002,0.054000000000000006,0.065,0.084,0.207
Wisconsin,2012,0.293,0.24600000000000002,0.2,0.037000000000000005,0.081,0.204
Utah State,2012,-0.015,-0.162,-0.16,-0.17,-0.249,0.201
Oregon State,2012,-0.115,0.034,0.16699999999999998,0.115,0.13699999999999998,0.2
Nebraska,2012,0.13,0.203,0.255,0.087,-0.043,0.19899999999999998
Michigan,2012,0.264,0.03,0.005,-0.057999999999999996,0.13699999999999998,0.193
Boise State,2012,0.33,0.39299999999999996,0.285,0.29100000000000004,0.096,0.184
Clemson,2012,0.102,0.138,0.20199999999999999,0.139,0.21899999999999997,0.184
BYU,2012,0.07200000000000001,0.004,0.156,0.067,0.21,0.175
Texas,2012,0.147,-0.019,0.379,0.365,0.17800000000000002,0.156
Penn State,2012,0.105,0.025,0.303,0.34,0.134,0.15
Cincinnati,2012,0.141,0.02,0.175,0.122,0.21,0.14400000000000002
USC,2012,0.237,0.086,0.134,0.47600000000000003,0.331,0.142
Louisville,2012,0.053,0.057,-0.14400000000000002,-0.11599999999999999,0.09,0.13699999999999998
Northwestern,2012,-0.001,-0.064,0.03,0.05,-0.114,0.129
Baylor,2012,0.135,-0.037000000000000005,-0.129,-0.031,-0.226,0.125
TCU,2012,0.17600000000000002,0.33299999999999996,0.321,0.324,0.069,0.12300000000000001
San Jose State,2012,-0.09699999999999999,-0.24,-0.303,-0.131,-0.201,0.121
Northern Illinois,2012,0.043,0.09699999999999999,-0.063,-0.04,-0.252,0.11900000000000001
Fresno State,2012,-0.128,-0.065,-0.042,-0.08,0.035,0.11599999999999999
UCLA,2012,-0.10800000000000001,-0.083,0.008,-0.109,0.147,0.11199999999999999
Central Florida,2012,0.022000000000000002,0.10300000000000001,-0.055999999999999994,-0.111,0.098,0.106
Syracuse,2012,-0.033,-0.024,-0.102,-0.134,-0.21600000000000003,0.102
Arizona,2012,-0.08199999999999999,0.07400000000000001,0.11699999999999999,0.14300000000000002,0.102,0.098
Rutgers,2012,0.121,-0.102,-0.003,0.1,0.11199999999999999,0.096
Ole Miss,2012,-0.166,0.0,0.16899999999999998,0.25,-0.08900000000000001,0.096
Arizona State,2012,0.055999999999999994,0.061,0.011000000000000001,-0.040999999999999995,0.162,0.09
Tulsa,2012,0.091,0.018000000000000002,-0.07200000000000001,0.10099999999999999,0.024,0.087
Virginia Tech,2012,0.14,0.253,0.315,0.105,0.251,0.076
San Diego State,2012,-0.032,0.10800000000000001,-0.18899999999999997,-0.258,-0.17300000000000001,0.075
Texas Tech,2012,-0.08199999999999999,0.006999999999999999,0.18600000000000003,0.207,0.14,0.069
North Carolina,2012,0.059000000000000004,0.07,0.11199999999999999,0.152,-0.024,0.068
West Virginia,2012,0.162,0.19899999999999998,0.06,0.11,0.327,0.066
Kent State,2012,-0.124,-0.177,-0.16899999999999998,-0.166,-0.20199999999999999,0.062
Georgia Tech,2012,0.068,-0.018000000000000002,0.158,0.078,0.045,0.061
Vanderbilt,2012,0.077,-0.163,-0.092,0.018000000000000002,-0.042,0.061
Pittsburgh,2012,0.05,0.155,0.21,0.166,0.044000000000000004,0.06
Louisiana Tech,2012,0.049,-0.099,-0.064,-0.132,-0.155,0.054000000000000006
Arkansas State,2012,-0.012,-0.026000000000000002,-0.193,-0.125,-0.11599999999999999,0.051
Toledo,2012,0.086,-0.11800000000000001,-0.138,-0.159,-0.159,0.023
Iowa State,2012,-0.036000000000000004,-0.10300000000000001,-0.081,-0.153,-0.156,0.022000000000000002
Washington,2012,-0.022000000000000002,-0.03,-0.021,-0.284,0.047,0.018000000000000002
Tennessee,2012,0.027000000000000003,0.006999999999999999,0.145,0.019,0.183,0.008
Missouri,2012,0.145,0.233,0.032,0.19699999999999998,0.23800000000000002,0.006999999999999999
UL-Lafayette,2012,-0.098,-0.14800000000000002,-0.21600000000000003,-0.109,-0.196,0.004
Arkansas,2012,0.19899999999999998,0.285,0.145,-0.047,0.154,0.004
Connecticut,2012,0.013999999999999999,-0.013999999999999999,0.114,0.11699999999999999,0.107,0.0
Mississippi State,2012,0.044000000000000004,0.109,0.01,-0.16,0.049,-0.001
N.C. State,2012,0.002,0.172,-0.040999999999999995,0.03,-0.031,-0.002
Ball State,2012,-0.146,-0.23600000000000002,-0.204,0.134,-0.08900000000000001,-0.005
Miami,2012,0.105,0.168,0.17800000000000002,0.013000000000000001,-0.035,-0.013000000000000001
Utah,2012,0.012,0.11599999999999999,0.126,0.243,0.127,-0.038
Bowling Green,2012,-0.081,-0.23,0.001,0.012,-0.154,-0.042
Ohio,2012,0.011000000000000001,-0.084,-0.064,-0.111,-0.14800000000000002,-0.045
SMU,2012,-0.006999999999999999,-0.001,-0.042,-0.19,-0.155,-0.047
Nevada,2012,-0.009000000000000001,0.127,-0.11199999999999999,-0.033,-0.09699999999999999,-0.053
Iowa,2012,0.053,0.177,0.251,0.21100000000000002,-0.042,-0.06
South Florida,2012,0.094,0.069,0.004,0.094,0.22899999999999998,-0.062
Indiana,2012,-0.215,-0.10300000000000001,-0.124,-0.149,-0.04,-0.065
UL-Monroe,2012,-0.11599999999999999,-0.129,-0.193,-0.21,-0.14400000000000002,-0.066
Purdue,2012,-0.078,-0.109,0.063,-0.049,0.005,-0.069
California,2012,0.062,-0.08,0.006999999999999999,0.136,0.142,-0.07
Troy,2012,-0.223,0.023,-0.02,0.011000000000000001,0.048,-0.07400000000000001
Minnesota,2012,-0.153,-0.10400000000000001,-0.048,-0.061,-0.14,-0.075
Houston,2012,0.17800000000000002,-0.006,0.113,0.036000000000000004,-0.057,-0.08199999999999999
Duke,2012,-0.076,-0.083,-0.052000000000000005,-0.065,-0.18899999999999997,-0.083
Marshall,2012,-0.106,-0.16399999999999998,-0.054000000000000006,-0.068,-0.092,-0.087
Virginia,2012,0.002,-0.086,-0.061,-0.01,0.067,-0.08800000000000001
Temple,2012,0.13699999999999998,-0.07,0.022000000000000002,-0.045,-0.223,-0.1
Western Michigan,2012,-0.004,-0.025,-0.14800000000000002,-0.042,-0.10300000000000001,-0.102
Maryland,2012,-0.129,0.08900000000000001,-0.086,0.028999999999999998,0.055,-0.109
Rice,2012,-0.16699999999999998,-0.174,-0.306,0.038,-0.205,-0.109
Boston College,2012,-0.064,0.024,0.124,0.131,0.165,-0.111
Florida International,2012,-0.027999999999999997,0.004,-0.256,-0.16,-0.27699999999999997,-0.11699999999999999
East Carolina,2012,-0.094,-0.022000000000000002,0.044000000000000004,0.034,-0.034,-0.11800000000000001
UAB,2012,-0.22399999999999998,-0.094,-0.135,-0.155,-0.242,-0.15
Buffalo,2012,-0.18899999999999997,-0.23399999999999999,-0.057999999999999996,-0.019,-0.23,-0.153
UTEP,2012,-0.146,-0.159,-0.096,-0.094,-0.098,-0.156
Memphis,2012,-0.359,-0.325,-0.19699999999999998,-0.062,-0.17,-0.157
Central Michigan,2012,-0.162,-0.131,0.10400000000000001,-0.036000000000000004,-0.111,-0.157
Middle Tennessee,2012,-0.295,-0.111,-0.055,-0.158,-0.115,-0.16
Navy,2012,-0.038,0.021,0.10400000000000001,0.021,-0.027999999999999997,-0.165
Washington State,2012,-0.133,-0.201,-0.371,-0.37200000000000005,-0.02,-0.166
Wyoming,2012,-0.19399999999999998,-0.22,-0.174,-0.21600000000000003,-0.094,-0.171
Air Force,2012,-0.026000000000000002,0.049,0.14400000000000002,-0.009000000000000001,0.027000000000000003,-0.174
Miami (Ohio),2012,-0.083,-0.155,-0.24100000000000002,-0.223,-0.18899999999999997,-0.17600000000000002
UNLV,2012,-0.33,-0.28600000000000003,-0.126,-0.107,-0.14400000000000002,-0.177
Kansas,2012,-0.23600000000000002,-0.235,0.035,0.055,0.22,-0.18
Auburn,2012,-0.013000000000000001,0.365,0.098,-0.025,0.20800000000000002,-0.18600000000000003
Army,2012,-0.16399999999999998,-0.075,-0.188,-0.183,-0.22,-0.188
Wake Forest,2012,-0.013000000000000001,-0.17300000000000001,0.071,0.11900000000000001,0.065,-0.191
Illinois,2012,0.02,0.10400000000000001,-0.134,0.040999999999999995,0.154,-0.193
Akron,2012,-0.354,-0.303,-0.24100000000000002,-0.06,-0.203,-0.203
Eastern Michigan,2012,-0.16899999999999998,-0.285,-0.318,-0.252,-0.209,-0.20600000000000002
Tulane,2012,-0.292,-0.184,-0.289,-0.237,-0.187,-0.207
Kentucky,2012,-0.109,0.017,0.021,-0.053,0.158,-0.21
North Texas,2012,-0.233,-0.122,-0.159,-0.36,-0.243,-0.215
New Mexico,2012,-0.444,-0.33899999999999997,-0.25,-0.06,0.025,-0.217
Florida Atlantic,2012,-0.32799999999999996,-0.136,-0.136,-0.11199999999999999,-0.066,-0.218
Southern Miss,2012,0.134,0.035,-0.053,0.036000000000000004,-0.033,-0.23399999999999999
Colorado State,2012,-0.222,-0.28,-0.127,-0.073,-0.087,-0.247
Idaho,2012,-0.263,-0.131,-0.10300000000000001,-0.325,-0.215,-0.254
Hawaii,2012,-0.113,0.052000000000000005,-0.187,-0.166,0.08,-0.254
New Mexico State,2012,-0.225,-0.363,-0.32299999999999995,-0.235,-0.195,-0.35600000000000004
Colorado,2012,-0.22699999999999998,-0.047,-0.092,-0.147,0.008,-0.36
Alabama,2011,0.375,0.41200000000000003,0.273,0.102,,0.539
LSU,2011,0.21,0.13699999999999998,0.139,0.337,,0.46799999999999997
Oklahoma State,2011,0.248,0.11699999999999999,0.162,0.079,,0.379
Oregon,2011,0.265,0.20199999999999999,0.16,0.278,,0.33799999999999997
Boise State,2011,0.39299999999999996,0.285,0.29100000000000004,0.096,,0.33
Wisconsin,2011,0.24600000000000002,0.2,0.037000000000000005,0.081,,0.293
Stanford,2011,0.332,0.11900000000000001,-0.001,-0.034,,0.285
Oklahoma,2011,0.284,0.273,0.354,0.273,,0.27699999999999997
Michigan,2011,0.03,0.005,-0.057999999999999996,0.13699999999999998,,0.264
Florida State,2011,0.19,0.09,0.14400000000000002,0.059000000000000004,,0.242
Michigan State,2011,0.14800000000000002,0.054000000000000006,0.065,0.084,,0.23800000000000002
USC,2011,0.086,0.134,0.47600000000000003,0.331,,0.237
Notre Dame,2011,0.188,0.15,0.037000000000000005,-0.139,,0.235
Georgia,2011,0.11599999999999999,0.098,0.155,0.23800000000000002,,0.228
Texas A&M,2011,0.188,0.051,-0.184,-0.017,,0.21
Arkansas,2011,0.285,0.145,-0.047,0.154,,0.19899999999999998
Houston,2011,-0.006,0.113,0.036000000000000004,-0.057,,0.17800000000000002
TCU,2011,0.33299999999999996,0.321,0.324,0.069,,0.17600000000000002
West Virginia,2011,0.19899999999999998,0.06,0.11,0.327,,0.162
South Carolina,2011,0.21899999999999997,0.09699999999999999,0.063,0.095,,0.158
Texas,2011,-0.019,0.379,0.365,0.17800000000000002,,0.147
Missouri,2011,0.233,0.032,0.19699999999999998,0.23800000000000002,,0.145
Cincinnati,2011,0.02,0.175,0.122,0.21,,0.141
Virginia Tech,2011,0.253,0.315,0.105,0.251,,0.14
Temple,2011,-0.07,0.022000000000000002,-0.045,-0.223,,0.13699999999999998
Baylor,2011,-0.037000000000000005,-0.129,-0.031,-0.226,,0.135
Southern Miss,2011,0.035,-0.053,0.036000000000000004,-0.033,,0.134
Nebraska,2011,0.203,0.255,0.087,-0.043,,0.13
Kansas State,2011,0.006999999999999999,-0.065,-0.102,-0.002,,0.122
Rutgers,2011,-0.102,-0.003,0.1,0.11199999999999999,,0.121
Penn State,2011,0.025,0.303,0.34,0.134,,0.105
Miami,2011,0.168,0.17800000000000002,0.013000000000000001,-0.035,,0.105
Clemson,2011,0.138,0.20199999999999999,0.139,0.21899999999999997,,0.102
Florida,2011,0.098,0.408,0.494,0.295,,0.095
South Florida,2011,0.069,0.004,0.094,0.22899999999999998,,0.094
Ohio State,2011,0.33899999999999997,0.278,0.251,0.33399999999999996,,0.094
Tulsa,2011,0.018000000000000002,-0.07200000000000001,0.10099999999999999,0.024,,0.091
Toledo,2011,-0.11800000000000001,-0.138,-0.159,-0.159,,0.086
Vanderbilt,2011,-0.163,-0.092,0.018000000000000002,-0.042,,0.077
BYU,2011,0.004,0.156,0.067,0.21,,0.07200000000000001
Georgia Tech,2011,-0.018000000000000002,0.158,0.078,0.045,,0.068
California,2011,-0.08,0.006999999999999999,0.136,0.142,,0.062
North Carolina,2011,0.07,0.11199999999999999,0.152,-0.024,,0.059000000000000004
Arizona State,2011,0.061,0.011000000000000001,-0.040999999999999995,0.162,,0.055999999999999994
Louisville,2011,0.057,-0.14400000000000002,-0.11599999999999999,0.09,,0.053
Iowa,2011,0.177,0.251,0.21100000000000002,-0.042,,0.053
Pittsburgh,2011,0.155,0.21,0.166,0.044000000000000004,,0.05
Louisiana Tech,2011,-0.099,-0.064,-0.132,-0.155,,0.049
Mississippi State,2011,0.109,0.01,-0.16,0.049,,0.044000000000000004
Northern Illinois,2011,0.09699999999999999,-0.063,-0.04,-0.252,,0.043
Tennessee,2011,0.006999999999999999,0.145,0.019,0.183,,0.027000000000000003
